seng recycléiert Aspekter,	0
seng richteg-ze-Liewen Charaktere,	1
kléng a konventionell historesch Fiktioun	0
schued jidderengem deen dëse Mëschung gesinn.	0
däischter ze entschlësselen	0
gestrand mat näischt méi wéi eise manneren Appetit	0
schéngen d'Kraaft vun hirem Ëmfeld ze passen.	1
dat fänkt als siwen rip-off un, nëmmen fir op eng Mëschung aus dem Glanz, der Saach an all plakeg Teenager Horror Flick aus den 1980er ze wiesselen	1
kwan ass e Meeschter vu Schied, Rou, a Raumrauschen,	1
ass einfach domm, irrelevant an déif, wierklech, ouni Buedem zynesch	0
ass däischter, brong a lues	0
Hand Zuschauer e Koffer voller einfach Äntwerten	0
et gëtt vill Plaz fir z'änneren, an e vill méi kuerzen Ofschnëtt hätt sécherlech zu enger méi glatter, méi fokusséierter narrativ gefouert, ouni eppes vun der kultureller Intrig ofzeginn.	0
aus dem Film Gëtter iwwerginn	1
sinn, mat den Trommel-Routinen, zu de Spuere vum Film.	1
datt et dat offensichtlech mat Humor a Liichtegkeet vermeit	1
begeeschtert Iech op dëser DVD	1
Ech sinn net sécher wat méi laang dauert fir ze heelen: d'Wuel op dem Johnny Knoxville säi Bauch vun engem Riot-Kontrollprojektil oder meng eegen gefoltert Psyche.	0
vu Konscht an Zweck	1
dat iwwerrascht oder begeeschtert	1
ass verluer, loosst de Charakter vun kritescher Jim zweedimensional a Sënnlos.	0
war immens flott	1
pathos-gefëllt awer schlussendlech Liewen-affirméieren Finale	1
méi einfach ze verdauen	1
Concours fir ze kucken wien deen aneren aus-schlecht handele kann	0
wat eng Iddi, wat eng Spannung.	1
vun engem Fernsehmonitor	1
net besser oder méi schlëmm wéi ` Wourecht oder Konsequenzen , n.m. ' oder all aner austauschbar Actioner mat imbecilesche Mafiafamillen-Toolbags, déi eng Routine-Aufgab an engem westlechen Réckwaasser botzen.	0
geet an e Räich, wou wéineg Net-Porno Filmer sech venturen, a kënnt als däischter witzeg, energesch, an iwwerraschend sanft.	1
frësch, heiansdo witzeg, an normalerweis wierklech wäertvoll	1
e gudde Mënsch	1
déi iwwerraschendst vun dësem Film	1
eng grouss amerikanesch Aventure	1
vu sengen trauregsten a komplizéiertsten Optrëtter	1
Zillos, ustrengend,	0
ze kleng fir all Zort Meeschterstéck genannt ze ginn	0
ass wou ararat verschwonnen ass.	0
beweisen diverting genuch	1
op Plazen op der Welt zerstéiert vum Krich, Hongersnout an Aarmut an dokumentéiert d'Grausamkeet an d'Leed déi hien fonnt huet mat enger zerstéierender, eloquenter Kloerheet	1
sollt net erlaabt hunn d'Wuert `` nei '' am Titel ze benotzen, well et ass keen original Charakter, Siuatioun oder Witz am ganze Film	0
e generesche Bluttbad	0
alles - och d'Liewen op engem Fligerdréier - ass sentimentaliséiert.	0
de Roman Charme	1
eng schlecht Improvisatiounsübung,	0
eng grouss Offall ... generesch	0
wéi schéin, wënschenswäert	1
kommt ewech, denkt net nëmmen datt d'Kate net ganz hell ass, awer datt si et net wäert war ze këmmeren an datt si vläicht, d'Janine an d'Molly - eng all-Fra dysfunktionell Famill - een aneren verdéngen.	0
wonnerbar Fechter Szenen an	1
sécher, et ass contrived an prévisibel	0
Häerz sou wichteg wéi Humor	1
kreativ Energie a Witz fir all Alter z'ënnerhalen	1
zu engem Gedicht vu Konscht, Musek a Metapher	1
an Joeren esou haart gelaacht	1
dëst goofily léif a gutt-lens Gorefest	1
