index	sentence1	sentence2	label
0	Keng Mass Zerstéierungswaffen am Irak fonnt.	Mass Zerstéierungswaffen am Irak fonnt.	0
1	Eng Plaz vu Trauer nodeems de Poopst Johannes Paul II gestuerwen ass gouf eng Plaz fir ze feieren wéi réimesch kathoulesch Gleeweger sech am Zentrum vu Chicago versammelt hunn fir d'Installatioun vum neie Poopst Benedikt XVI ze markéieren.	De Poopst Benedikt XVI ass den neie Leader vun der Réimesch-kathoulescher Kierch.	1
2	Herceptin war scho guttgeheescht fir déi krankste Broschtkriibspatienten ze behandelen an d'Firma sot e Méindeg et wäert mat Féderalen Regulateuren iwwer d'Méiglechkeet diskutéieren d'Medikamenter fir méi Broschtkriibspatienten ze verschriwwen.	Herceptin kann benotzt ginn fir Brustkrebs ze behandelen.	1
3	Judie Vivian Chef exekutiv bei ProMedica eng medizinesch Déngschtleeschtungsfirma déi hëlleft dem 2 Joer ale Vietnam Heart Institute zu Ho Chi Minh City (fréier Saigon) z'erhalen sot datt bis elo ongeféier 1500 Kanner Behandlung kritt hunn.	De fréiere Numm vun Ho Chi Minh City war Saigon.	1
4	E Mann soll viru Geriicht spéider ugeklot ginn fir de Mord viru 26 Joer vun engem Teenager deem säi Fall deen éischten op BBC One's Crimewatch war. D'Colette Aram 16 war den 30. Oktober 1983 an d'Haus vun hirem Frënd zu Keyworth Nottinghamshire wéi si verschwonnen ass. Hir Läich gouf spéider an engem Feld no bei hirem Heem fonnt. De Paul Stewart Hutchinson 50 ass wéinst Mord reprochéiert ginn an ass viru Nottingham Magistraten méi spéit.	De Paul Stewart Hutchinson gëtt virgeworf e Meedchen gestach ze hunn.	0
5	Groussbritannien sot e Freideg datt et de Klerik Omar Bakri verhënnert huet aus dem Libanon zréck an d'Land zréckzekommen wou hie vun der Police fräigelooss gouf nodeems hie fir 24 Stonnen festgehale gouf.	De Bakri gouf kuerz festgeholl gouf awer fräigelooss.	1
6	Bal 4 Millioune Kanner déi op d'mannst een Elterendeel hunn deen illegal an d'USA erakoum goufen an den USA gebuer a sinn US Bierger als Resultat laut der Studie vum Pew Hispanic Center. Dat sinn ongeféier dräi Véierel vun de geschätzte 55 Millioune Kanner vun illegalen Immigranten an den USA laut der Etude. Ongeféier 18 Millioune Kanner vun ondokumentéierten Immigranten liewen an Aarmut huet d'Etude festgestallt.	Dräi Véierel vun den US illegalen Immigranten hunn Kanner.	0
7	Wéi d'USA sinn d'UNO Beamten och erschreckt datt den Aristide eng Konferenz ëmbruecht huet déi vum Premier Minister Robert Malval zu Port-au-Prince geruff gouf an der Hoffnung all d'Feuding Parteien zesummen ze bréngen.	Den Aristide huet de Premier Robert Malval zu Port-au-Prince ëmbruecht.	0
8	WASHINGTON - Eng nei deklassifizéiert narrativ vum Berodung vun der Bush Administratioun un d'CIA iwwer haart Verhënnerungen weist datt de klenge Grupp vu Justizdepartement Affekoten déi Memoë geschriwwen hunn déi kontrovers Verhéierstechniken autoriséiert hunn net eleng operéiert hunn mee mat Leedung vun den Top Administratiounsbeamten inklusiv dann -Vizepresident Dick Cheney an national Sécherheetsberoder Condoleezza Rice. Zur selwechter Zäit suggeréiert d'Geschicht datt deemools Verdeedegungssekretär Donald H. Rumsfeld an deemolege Staatssekretär Colin Powell gréisstendeels aus dem Entscheedungsprozess gelooss goufen.	Den Dick Cheney war de Vizepresident vum Bush.	1
9	Nëmmen eng Woch nodeems et kee Kommentar iwwer d'Erhéijung vun der Späicherkapazitéit vu sengem Hotmail E-Mail Service hat huet Microsoft fréi Donneschdeg ugekënnegt datt et d'Erlaabnes op 250MB eropgeet fir ähnlech Beweegunge vu Rivalen wéi Google Yahoo a Lycos ze verfollegen.	Microsoft's Hotmail huet seng Späicherkapazitéit op 250MB erhéicht.	1
