index,sentence1,sentence2,label
0,Ech hunn e Pin duerch eng Muert gestach. Wéi ech de Pin erausgezunn hunn hat se e Lach.,D'Muert hat e Lach.,1
1,De John konnt d'Bühn net mam Billy viru sech gesinn well hien esou kleng ass.,De John ass sou kleng.,1
2,D'Police huet all d'Gangmembere festgeholl. Si hu probéiert den Drogenhandel an der Noperschaft ze stoppen.,D'Police huet probéiert den Drogenhandel an der Noperschaft ze stoppen.,1
3,De Steve follegt dem Fred säi Beispill an allem. Hie beaflosst hien enorm.,De Steve beaflosst hien enorm.,0
4,Wéi d'Tatyana de Chalet erreecht huet huet hir Mamm geschlof. Si war virsiichteg se net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,D'Mamm war virsiichteg se net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,0
5,De George krut gratis Tickete fir de Match awer hien huet se dem Eric ginn well hien e ganz gäre wollt gesinn.,De George wollt e ganz gäere gesinn.,0
6,De John war duerch de Park joggen wéi hien e Mann gesinn huet dee Waassermeloune jongléiert huet. Hie war ganz beandrockend.,De John war ganz beandrockend.,0
7,Ech konnt d'Dëppen net op d'Regal leeën well en ze grouss war.,D'Dëppen war ze grouss.,1
8,Mir hate gehofft Kopie vun eisem Newsletter op all d'Still am Festsall ze placéieren awer et waren der einfach net genuch.,Et waren einfach net genuch Kopien vum Newsletter.,1
9,Beim Loebner Concours konnten d'Riichter net erausfannen wéi eng Befroten d'Chatbots waren well se sou fortgeschratt waren.,D'Riichter ware sou fortgeschratt.,0
10,Ech hunn d'Waasserfläsch aus dem Rucksak geholl fir datt e méi liicht gëtt.,Ech hunn d'Waasserfläsch aus dem Rucksak geholl fir datt de Rucksak méi liicht gëtt.,1
11,Den Dësch passt net duerch d'Dier well en ze enk ass.,Den Dësch ass ze enk.,0
13,D'Pompjeeë sinn no der Police ukomm well se vu sou wäit komm sinn.,D'Police koum vu sou wäit.,0
14,Fréier huet de Larry dem Papp mat senger Aarbecht gehollef. Awer hie konnt him elo net hëllefen well de Papp sot datt säi Patron bei der Eisebunnsfirma net wollt datt aner Leit wéi hien am Büro schaffen.,De Papp konnt him elo net hëllefen.,0
15,Ech hu Waasser aus der Fläsch an d'Tas gegoss bis se eidel war.,D'Tas war eidel.,0
16,Ech hunn de Kuch an de Frigo gesat. En enthält vill Botter.,De Kuch enthält vill Botter.,1
17,De Lionel hält e Wëssenschaftler den Dr Vardi gefaangen deen en Apparat erfonnt huet den Déieren onsichtbar mëcht; de Lionel plangt e beim Geoffrey anzesetzen an hien ze schécken fir Nuklearmaterial aus engem Arméistresor ze klauen.,De Lionel plangt en beim Geoffrey anzesetzen an de Lionel ze schécken fir Nuklearmaterial aus engem Arméistresor ze klauen.,0
18,D'Fiiss komme nuets eran an attackéieren d'Hénger. Si si ganz fett ginn.,D'Fiiss si ganz fett ginn.,1
19,De Sam huet e Stull virun de Piano gesat awer e war gebrach dowéinst misst hie stoen.,De Piano war gebrach dowéinst misst hie stoen.,0
20,D'Jane huet un dem Susan senger Dier geklappt awer hatt krut keng Äntwert.,D'Susan krut keng Äntwert.,0
21,De Bob huet Kaarte mam Adam gespillt a war wäit vir. Wann den Adam net op eemol vill Gléck gehat hätt hätt hie gewonnen.,Den Adam hätt gewonnen.,0
22,Ech hunn de Päiperleksflilleck op den Dësch geluecht an en ass gebrach.,Den Dësch ass gebrach.,0
23,De Paul huet probéiert den George um Telefon ze errechen awer hien ass net duerchkomm.,De Paul ass net duerchkomm.,1
24,Kuckt! Et schwëmmt en Hai direkt ënnert där Int! En hätt besser sech séier a Sécherheet ze bréngen!,Den Hai hätt besser sech séier a Sécherheet ze bréngen!,0
25,D'Trophée passt net an déi brong Wallis well se ze grouss ass.,D'Wallis ass ze grouss.,0
26,Dem Joe säi Monni kann hien ëmmer nach am Tennis schloen obwuel hien 30 Joer méi al ass.,De Joe ass 30 Joer méi al.,0
27,De grousse Ball ass duerch den Dësch gebrach well en aus Stol ass.,De grousse Ball ass aus Stol.,1
28,De Sam huet béid seng Knéchel gebrach an hie geet mat Krätschen. Awer an e Mount oder sou sollten se nees geheelt sinn.,D'Krätschen sollten nees geheelt sinn.,0
29,De Grant huet schwéier geschafft fir seng Bounen ze ernten sou datt hien a seng Famill dee Wanter genuch z'iessen hunn Säi Frënd Henry léisst hien se a senger Scheier opstapele wou se kënnen dréchnen. Da giff hien an d'Tatyana se schielen a se fir hirt Sonndesiessen kachen.,Säi Frënd Henry léisst hien de Grant a seng Famill a senger Scheier opstapele wou se kënnen dréchnen.,0
30,D'Jane huet un d'Dier geklappt an d'Susan huet geäntwert. Si huet hatt invitéiert erauszekommen.,D'Jane huet hatt invitéiert erauszekommen.,1
31,Den Dan huet de Bill missen dovun ofhalen mam verletzte Vugel ze spillen. Hien ass ganz grausam.,De Bill ass ganz grausam.,1
32,Den Tom sot "Schach" zum Ralph wéi hie säi Leefer geholl huet.,Den Tom sot "Schach" zum Ralph wéi hien de Leefer vum Ralph geholl huet.,1
33,Ech si fir eng Klengegkeet z'iessen erausgaang mee éischter fir d'Zäit ze verdreiwen an net well ech et wollt.,Ech si fir eng Klengegkeet z'iessen erausgaang mee éischter fir d'Zäit ze verdreiwen an net well ech iesse wollt.,1
34,De Joe huet den Detektiv bezuelt nodeems hien de leschte Bericht iwwer de Fall krut.,De Joe krut de leschte Beriicht iwwer de Fall.,1
35,Mir hate gehofft Kopie vun eisem Newsletter op all Still am Festsall ze placéieren awer et waren der einfach ze vill.,Et waren einfach ze vill Kopie vum Newsletter.,0
36,De Joe huet säin Haus verkaf an en neit e puer Meile fort kaaft. Hie wäert en Donneschdeg an et eraplënneren.,Hie wäert en Donneschdeg an dat neit Haus eraplënneren.,1
37,Fréier huet de Larry dem Papp mat senger Aarbecht gehollef. Awer hie konnt him elo net hëllefen well de Papp sot datt säi Patron bei der Eisebunnsfirma net wollt datt aner Leit wéi hien am Büro schaffen.,Hie konnt dem Papp elo net hëllefen.,1
39,Den Jim huet de Kevin getréischt well hie sou entsat war.,De Kevin war sou entsat.,1
40,Den Jackson gouf staark vum Arnold beaflosst obwuel hien zwee Joerhonnerte virdrun gelieft huet.,Den Arnold huet zwee Joerhonnerte virdru gelieft.,1
41,Do ass eng Sail tëscht mir an der Bühn an ech kann net ronderëm se gesinn.,Ech kann net ronderëm d'Bühn gesinn.,0
42,Archeologen hunn geschlussfolgert datt Mënschen virun 20.000 Joer zu Laputa gelieft hunn. Si hunn Hirschen op de Flossbänken gejot.,Prehistoresch Mënsche hunn Hirschen op de Flossbänken gejot.,1
43,De Sam an d'Amy si leidenschaftlech anenaner verléift awer dem Amy seng Eltere sinn onglécklech driwwer well se Snobs sinn.,D'Eltere vum Amy si Snobs.,1
44,De Bill huet den hallefeidelen Teller dem John weiderginn well hien hongereg war.,De John war hongereg.,1
45,D'Sara huet d'Buch aus der Bibliothéik geléint well se et brauch fir en Artikel un deem se schafft. Si schreift en wann se vun der Aarbecht heem kënnt.,Si schreift d'Buch wann se vun der Aarbecht heem kënnt.,0
46,De John huet dem Bill versprach ze goen also ass en eng Stonn méi spéit fortgaang.,De Bill ass fortgaang.,0
47,D'Sara huet d'Buch aus der Bibliothéik geléint well se et brauch fir en Artikel un deem se schafft. Si liest et wa se vun der Aarbecht heem kënnt.,Si liest den Artikel wa se vun der Aarbecht heem kënnt.,0
48,De Mark héiert dem Steve seng Féiss d'Leeder erofgoen. D'Dier vum Buttek ass hannert him zougaangen. Hien ass gelaf fir zur Fënster eraus ze kucken.,D'Dier vum Buttek ass hannert dem Steve zougaangen.,1
49,De Fred ass deen eenzege liewege Mënsch dee mäi Papp als Puppelchen kannt huet. Wéi de Fred mäi Papp fir d'éischt gesinn huet war hien zwielef Joer al.,Wéi de Fred mäi Papp fir d'éischt gesinn huet war mäi Papp zwielef Joer al.,0
51,De Fred huet Fernseh gekuckt während de George erausgaang ass fir Liewensmëttel ze kafen. No enger Stonn ass hien ëremkomm.,Den George ass ëremkomm.,1
52,D'Lily huet mam Donna geschwat wat séng Konzentratioun gestéiert huet.,D'Lily huet mam Donna geschwat wat dem Donna séng Konzentratioun gestéiert huet.,1
53,Och wa si ongeféier déiselwecht Geschwindegkeet gelaf sinn huet de Sue d'Sally geschloen well hatt sou e schlechte Start hat.,D'Sue hat sou e schlechte Start.,0
54,D'Madonna huet hir Trainerin entlooss well si hire Frënd net ausstoe konnt.,Si konnt der Madonna hire Frënd net ausstoen.,0
55,Ech kann dee Bam net mat där Aaxt fällen; se ass ze kleng.,D'Aaxt ass ze kleng.,1
56,D'Madonna huet hir Trainerin entlooss well si mat hirem Frënd geschlof huet.,Si huet matt der Madonna hirem Frënd geschlof.,1
57,Ech hu gesinn wéi den Jim iergendsoueen Typ an enger militärescher Uniform mat engem risege roude Baart ugejaut huet. Ech weess net firwat hien dat gemaach huet awer hien huet ganz onglécklech ausgesinn.,Ech weess net firwat den Typ an Uniform dat gemaach huet awer hien huet ganz onglécklech ausgesinn.,0
58,D'Alice huet frenetesch probéiert hir Duechter dovun ofzehalen op der Party ze chatten a mir hunn eis d'Fro gestallt firwat si sech sou komesch beholl huet.,D'Duechter vum Alice huet sech sou komesch beholl.,0
59,D'Jane huet un der Susan hir Dier geklappt awer hatt huet net geäntwert.,D'Jane huet net geäntwert.,0
60,D'Politiker wäit ewech zu Washington konnten d'Siedler net kennen also musse se Regele maache fir se ze regléieren.,D'Politiker musse Regele maache fir se ze regléieren.,1
61,E puer Mol war den Henry bei Interviewe präsent gewiescht déi säi Papp mat bemierkenswäerte Detektiven hat déi no senger Hëllef bei der Léisung vu perplexéierende Geheimnisser gefrot hunn an déi Geleeënheete wuare ganz besonnesch Deeg fir hien.,Dës Geleeënheeten wuare ganz besonnesch Deeg fir den Henry.,1
62,De Sam huet e Stull virun de Piano gesat awer e war gebrach dowéinst misst hie stoen.,De Stull war futti dowéinst misst hie stoen.,1
63,Well et gereent huet hunn ech d'Zeitung iwwer mäi Rucksak gehalen fir dass en dréchen bleift.,Ech hunn d'Zeitung iwwer mäi Rucksak gehalen fir dass de Rucksak dréchen bleift.,1
64,D'Politiker wäit ewech zu Washington konnten d'Siedler net kennen also missten se Regele maache fir se ze regléieren.,Si musse Regele maachen fir d'Politiker ze regléieren.,0
65,D'Anna huet beim Test vill besser ofgeschnidden wéi hir gutt Frëndin Lucy well hatt sou vill geléiert huet.,D'Anna hat sou vill geléiert.,1
67,De Fred ass deen eenzege liewege Mann dee mäin Urgrousspapp kannt huet. Hie war e bemierkenswäerte Mann.,Mäin Urgrousspapp war e bemierkenswäerte Mann.,1
68,Ech konnt d'Dëppen net op d'Regal stellen well en ze héich war.,D'Regal war ze héich.,1
69,Keen geht op Facebook fir traureg an alleng ze sinn. Awer eng nei Studie vum Psycholog George Lincoln vun der University of Wisconsin argumentéiert datt dat genau d'Gefill ass dat et eis gëtt.,Dat ass genau d'Gefill wat d'Studie eis gëtt.,0
70,De Bob huet dem Charlie säi Studium bezuelt. Hien ass ganz dankbar.,Den Charlie ass ganz dankbar.,1
46,De John huet dem Bill versprach ze goen also ass en eng Stonn méi spéit fortgaang.,Den John ass fortgaang.,1
72,De Frank war rosen op den Tom well den Toaster deen hien him verkaaft huet net funktionnéiert.,Den Toaster den de Frank him verkaf huet funktionéiert net.,0
74,De Joe huet säin Haus verkaf an en neit e puer Meile wait ewech kaaft. Hie wäert en Donneschdeg draus plënneren.,Hie wäert en Donneschdeg aus dem alen Haus erausplënneren.,1
75,De Mark héiert dem Steve seng Féiss d'Leeder erofgoen. D'Dier vum Buttek ass hannert him zougaangen. Hien ass gelaf fir zur Fënster eraus ze kucken.,D'Dier vum Buttek ass hannert dem Mark zougaangen.,0
76,Et ass net einfach déiselwescht Distanz tëscht Knapplächer anzehalen an et ass ganz schwéier se genau déi richteg Gréisst auszeschneiden. De klengste Rutscher matt der Schéier mécht d'Lach ze grouss an just een ongeschniddene Fuedem mëcht et ze kleng.,Just een ongeschniddene Fuedem mëcht déi richteg Gréisst ze kleng.,0
77,De Billy huet gekrasch well den Toby séng Spillsaach net géif unhuelen.,De Billy huet gekrasch well den Toby dem Toby séng Spillsaach net géif unhuelen.,0
78,Wéi den Ollie den Tommy op déi laang Trap erop gedroen huet hounge seng Been erof.,Dem Ollie seng Been houngen erof.,0
79,De Sam huet e Stull virun de Piano gesat awer e war gebrach dofir huet hien amplaz misse sangen.,De Stull war gebrach dofir huet hien amplaz misse sangen.,0
80,De Fësch huet de Wuerm giess. E war hongereg.,De Wuerm war hongereg.,0
81,D'Journalisten hunn d'Stare vum neie Film interviewt. Si ware ganz kooperativ dowéinst huet den Interview laang gedauert.,D'Journaliste ware ganz kooperativ dowéinst huet den Interview laang gedauert.,0
82,D'Trophée passt net an déi brong Wallis well se ze kleng ass.,D'Trophée ass ze kleng.,0
83,Den Thomson huet dem Cooper säi Graf am Joer 1765 besicht. Zu deem Datum war hie fënnef Joer laang ënnerwee.,De Cooper war fënnef Joer laang ënnerwee.,0
84,D'Alice huet d'Wunnzëmmer gestëbst a versicht de Knapp ze fannen deen d'Mama verstoppt hat. Keng Zäit haut fir al Biller an hirem Liiblingsfotoalbum ze kucken. Haut huet si e Knapp misse sichen also huet si den Album op e Stull geluecht huet ouni en opzemaachen.,Si huet den Album op e Stull geluecht ouni d'Wunnzëmmer opzemaachen.,0
85,De Bill huet den hallefeidelen Teller dem John weiderginn well hie war voll.,De Bill war voll.,1
86,De Bill huet den hallefeidelen Teller dem John weiderginn well hie war voll.,De John war voll.,0
87,D'Fiiss komme nuets eran an attackéieren d'Hénger. Ech muss se ëmbréngen.,Ech muss d'Fiiss ëmbréngen.,1
88,Dem Joe säi Monni kann hien ëmmer nach am Tennis schloen obwuel hien 30 Joer méi jonk ass.,De Joe ass 30 Joer méi jonk.,1
89,D'Emma huet dem Janie de Ball net gepasst obwuel si fräi war.,Si huet gesinn datt d'Janie fräi war.,1
90,De Bill huet dem John de Gameboy ginn well säin Tour eriwwer war.,Dem Bill säin Tour war eriwwer.,1
91,D'Ann huet d'Maria gefrot um wéivill Auer d'Bibliothéik zougeet well se et vergiess hat.,D'Ann hat et vergiess.,1
92,Dem Pam seng Eltere sinn heemkomm an hunn se beim Sex mat hirem Frënd dem Paul erwëscht. Si ware rosen doriwwer.,Dem Pam seng Eltere ware rosen doriwwer.,1
93,Dëse Moien huet de Joey e Sandschlass um Strand gebaut an e Spillfändel an den héchsten Tuerm gestach awer dësen Nomëtteg huet d'Flut en emgestouss.,Dësen Nomëtteg huet d'Flut de Fändel emgestouss.,0
94,De Mann konnt säi Jong net ophiewen well hie sou schwaach war.,De Mann war sou schwaach.,1
95,De Client ass an d'Bank gaang an huet ee vun den Employeen erstach. Hie gouf direkt an d'Spidol bruecht.,De Client gouf direkt an d'Spidol bruecht.,0
96,Well den Chester vum Monni Vernon ofhängeg war konnt hie sech net bestueden ouni séng Zoustëmmung.,Hie konnt net bestueden ouni dem Chester seng Zoustëmmung.,0
98,D'Emma huet de Ball net dem Janie gepasst obwuel si gesinn huet datt hatt fräi war.,D'Emma huet gesinn datt hatt fräi war.,1
101,Den James huet de Robert em e Gefale gefrot awer hie krut refuséiert.,De Robert krut refuséiert.,0
102,Ech kann dee Bam net mat där Aaxt fällen; en ass ze déck.,D'Aaxt ass ze déck.,0
103,De Bob ass um Trottoir zesummegebrach. Kuerz drop huet hie gesinn datt de Carl zur Hëllef komm ass. Hie war ganz krank.,De Bob war ganz krank.,1
104,D'Emma huet de Ball net dem Janie gepasst obwuel si gesinn huet datt hatt fräi war.,D'Janie huet gesinn datt hatt fräi war.,0
105,Den Tom huet de Ralph an d'Schoul gefouert fir datt hien net alleng misst fueren.,Den Tom misst net alleng fueren.,1
106,Dem Sam seng Zeechnung gouf just iwwer dem Tina séng opgehaangen gelooss an se huet vill besser ausgesinn mat enger anerer drënner.,Dem Sam seng Zeechnung huet vill besser ausgesinn mat enger anerer drënner.,1
107,Och wa si ongeféier déiselwecht Geschwindegkeet gelaf sinn huet d'Sue d'Sally geschloen well hatt sou e gudde Start hat.,D'Sue hat sou e gudde Start.,1
108,D'Grace war frou hire Pullover fir meng Jackett ze tauschen. Si fënnt e gesäit almoudesch aus.,De Pullover gesäit almoudesch aus.,1
109,De Bob huet dem Charlie säi Studium bezuelt. Hien ass ganz dankbar.,Den Charlie ass ganz dankbar.,1
110,D'Grace war frou hire Pullover fir meng Jackett ze tauschen. Si fënnt se gesäit super aus.,De Pullover gesäit super aus.,0
111,All Dag nom Iessen huet den Här Schmidt e laangt Nickerchen gehalen. De Mark géif hien eng Stonn schlofe loossen hien dann erwächen hie vernennen an en op d'Aarbecht schécken. Hie misst hien dozou bréngen säi Konschtwierk fäerdeg ze maachen well seng Konschtwierker ware schéin.,Dem Här Schmidt seng Konschtwierker ware schéin.,1
112,De Mann huet de Jong op seng Schëllere gehuewen.,De Mann huet de Jong op d'Schëllere vum Mann gehuewen.,1
113,De Fred an d'Alice hate ganz waarm Plommemäntel awer si ware fir d'Keelt an Alaska net bereet.,D'Mäntel waren net fir d'Keelt an Alaska bereet.,0
114,Am Juli huet de Kamtchatka dem Jakutsk de Krich erkläert. Well dem Jakutsk seng Arméi vill besser equipéiert an zéng Mol méi grouss war goufe se bannent Woche besiegt.,Jakutsk gouf bannent Woche besiegt.,0
115,Den Jackson gouf staark vum Arnold beaflosst obwuel hien zwee Joerhonnerte virdrun gelieft huet.,Den Jackson huet zwee Joerhonnerte virdru gelieft.,0
116,De Wee fir bei de Séi war blockéiert sou datt mir en net konnten huelen.,Mir konnten de Séi net huelen.,0
117,D'Sara huet d'Buch aus der Bibliothéik geléint well se et brauch fir en Artikel un deem se schafft. Si liest et wa se vun der Aarbecht heem kënnt.,Si liest d'Buch wa se vun der Aarbecht heem kënnt.,1
118,De Client ass an d'Bank gaang an huet ee vun den Employeen erstach. Hie gouf direkt op de Policebüro bruecht.,Den Employe gouf direkt op de Policebüro bruecht.,0
119,Den Adam kann net vun der Aarbecht fort bis de Bob kënnt fir hien z'ersetzen. Wann de Bob mat Zäit aus dem Haus gaang wier wier hie lo schonn hei.,De Bob wier lo schonn hei.,1
120,Wéi war dat deemools wous du Tulpeknollen fir den Hamburger geschnidden hues wells Du geduecht hues si wiere Zwibbelen?,Du hues geduecht Tulpeknollen wieren Zwibbelen?,1
122,Den Thomson huet dem Cooper säi Graf am Joer 1765 besicht. Zu deem Datum war hie fënnef Joer dout.,De Cooper war fir fënnef Joer dout.,1
123,De Fred sollt d'Spullmaschinn starten awer hien huet et net gemaach well hie Fernseh kucke wollt. Awer d'Show huet sech als langweileg erwisen also huet hie séng Meenung geännert an se ageschalt.,Hien huet seng Meenung geännert an de Fernseh ageschalt.,0
124,De Paul huet probéiert dem George unzeruffen awer hie war net verfügbar.,Den George war net verfügbar.,1
125,Wéi d'Tatyana de Chalet erreecht huet huet hir Mamm geschlof. Si war virsiichteg se net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,D'Tatyana war virsiichteg se net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,1
127,De Fred ass deen eenzege liewege Mann dee mäin Urgrousspapp kannt huet. Hien ass e bemierkenswäerte Mann.,Mäi Urgrousspapp ass e bemierkenswäerte Mann.,0
128,Ech hunn de Kuch an de Frigo gesat. En enthält vill Iwwerreschter.,De Kuch enthält vill Iwwerreschter.,0
129,De Jim rifft de Barman a weist op säi Buedzëmmersschlëssel.,De Jim rifft de Barman a weist op dem Barman säi Buedzëmmersschlëssel.,1
130,De Steve follegt dem Fred säi Beispill an allem. Hie beaflosst hien enorm.,De Fred beaflosst hien enorm.,1
131,Wéi d'Tatyana de Chalet erreecht huet huet hir Mamm geschlof. Si war virsiichteg se net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,Si war virsiichteg hir Mamm net ze stéieren wärend si sech ausgedoen huet an zréck an hirt Bett geklommen ass.,1
132,D'Jane huet dem Joan Séissegkeete ginn well hatt net hongereg war.,D'Jane war net hongereg.,1
133,Wéi den Tommy seng Glace fale gelooss huet huet den Timmy gegiggelt sou datt de Papp hien streng ugekuckt huet.,De Papp huet den Tommy streng ugekuckt.,0
134,Ech hu kee Läffel fonnt dofir hunn ech probéiert e Bic ze benotzen fir mäi Kaffi ze réieren. Awer dat war eng schlecht Iddi well e war herno voller Tënt.,De Kaffi war herno voller Tënt.,1
135,De Mann konnt säi Jong net ophiewen well hie sou schwaach war.,De Jong war sou schwaach.,0
136,De Sam huet probéiert e Bild vu Schofhiirte mat Schof ze molen awer si hunn am Endeffekt méi wéi Golfspiller ausgesinn.,D'Schofhiirten hunn am Endeffekt méi wéi Golfspiller ausgesinn.,1
137,Ech hunn kee Läffel fonnt dofir hunn ech probéiert e Bic ze benotzen fir mäi Kaffi ze réieren. Awer dat war eng schlecht Iddi well e war herno voll mat Tënt.,De Bic war herno voll mat Tënt.,0
138,De John war duerch de Park joggen wéi hien e Mann gesinn huet dee Waassermeloune jongléiert. Hie war ganz beandrockt.,De John war ganz beandrockt.,1
139,De Fred huet seng Ae mat den Hänn verdeckt well de Wand huet Sand ronderëm geblosen. Hien huet se erofgeholl wéi de Wand opgehalen huet.,Hien huet d'Aen erofgeholl wéi de Wand opgehalen huet.,0
140,De Liwwerwon ass laanscht de Schoulbus gerannt well e sou séier war.,De Schoulbus war sou séier.,0
141,Wärend enger Partie Fänkches huet den Ethan de Luke gejot well hien drunn war.,De Luke war drunn.,0
142,Et ass e Lach an der Mauer. Dir gesitt de Gaart hannendrun.,Dir kënnt de Gaart duerch d'Mauer gesinn.,1
143,Ech hunn d'Waasserfläsch aus dem Rucksak geholl fir datt e méi liicht gëtt.,Ech hunn d'Waasserfläsch aus dem Rucksak geholl fir datt d'Waasserfläsch méi liicht gëtt.,0
144,D'Sonn war de ganze Moie vun enger décker Wollek bedeckt awer glécklecherweis wéi de Picknick ugefaang huet war se eraus.,D'Sonn war eraus.,1
145,Den Jim huet de Kevin ugejaut well hie sou opbruet war.,Den Jim war sou opbruet.,1
147,De Bill huet dem John de Gameboy ginn well et lo u séngem Tour war.,Et war un dem Bill séngem Tour.,0
148,De Fred sollt d'Spullmaschinn starten awer hien huet et net gemaach well hie Fernseh kucke wollt. Awer d'Show huet sech als langweileg erwisen also huet hie séng Meenung geännert an se ageschalt.,Hien huet seng Meenung geännert an d'Spullmaschinn ageschalt.,1
149,Wéi den Ollie den Tommy op déi laang Trap erop gedroen huet krut hie séng Been wéi.,Dem Tommy krut séng Been wéi.,0
150,D'Fiiss kommen nuets eran an attackéieren d'Hénger. Ech muss se ëmbréngen.,Ech muss D'Hénger ëmbréngen.,0
151,De Papa huet erof op d'Gesiichter vun de Kanner gekuckt elo sou verwonnert an traureg. Et war schlëmm genuch datt se missten esou vill Saache refuséiert kréien well hie konnt se sech net leeschten.,Et war schlëmm genuch datt d'Gesiichter sou vill Saache missten refuséiert kréien well hie konnt se sech net leeschten.,0
152,De Sak Gromperen war iwwert de Sak Miel geluecht ginn dofir huet e misse fir d'éischt geréckelt ginn.,De Sak Miel huet fir d'éischt misse geréckelt ginn.,0
153,Den Hond huet d'Kaz gejot déi e Bam eropgelaf ass. Se waart uewen.,Den Hond waart uewen.,0
154,De Steve follegt dem Fred säi Beispill an allem. Hie bewonnert hien immens.,De Fred bewonnert hien immens.,0
155,D'Fra huet d'Meedche widdert d'Broscht gehalen.,D'Fra huet d'Meedche widdert d'Broscht vun der Fra gehalen.,1
156,Den Hond huet d'Kaz gejot déi e Bam eropgelaf ass. En huet ënne gewaart.,Den Hond huet ënne gewaart.,1
157,De Bob ass um Trottoir zesummegebrach. Kuerz drop huet hie gesinn datt de Carl zur Hëllef komm ass. Hie war ganz besuergt.,De Carl war ganz besuergt.,1
