0	"2002, Le Pen géint Chirac, do hunn ech gewielt.	11
1	"2011 war et fir beim Status Quo ze bleiwen.	4
2	"600 nei Polizisten iwwert déi nächst 3 Joer géife mol duer goen.	11
3	"90% vun den DRI'en op PG sin technesch räif.	12
4	A13 Richtung Péiteng si kuerz virun 23 Auer zwee Autoen laanschtenee komm.	10
5	A 14 Deeg geet de Robert Goebbels selwer op d'Summerakademie.	8
6	A 25 Fäll war awer alles ok.	5
7	Aaaaaalso ech brengen keen em, bäissen an sin normalerweis "sans rancune".	7
8	AAAAsouuuuu o.O dach beim eischten shooting!	5
9	Aacht Joer wäerten et bis déi nächst Release also sinn.	9
10	Aaner Blenden maachen vill aus.	3
11	Aanererseits ass den Bildopbau immens interessant.	4
12	A an Iwweluedenen Hannergrond onbedéngt.	4
13	Aarbechterinnen, Dronen an d'Kinnigin kréien dat selwecht ze iessen.	8
14	Aarbechter um Lafband wäert et iergendwann méi ginn.	6
15	Aarbechtsmigratioun gëtt kontrolléiert.	2
16	Aarbechtsplaze schafen a keng Wunnengen, dat géif méi goen.	8
17	Aarbechtsrechtlech war dat an der Rei, an et goufen Diskussiounen.	3
18	Aarmut stéiert si!	3
19	Aarmutt zu Lëtzebuerg: gratis öffentlechen Transport geet duer!	8
20	Aart kann ech der leider och genee soen.	6
21	Abbé, de Logement gehéiert zu den 13 roude Ressorten.	5
22	Abee, anscheinend nach.	4
23	Abee, dir wäert ären Oueren trauen.	6
24	Abee et sinn Tomaten déi duerch hier Saier dem Mo grad Guddes dinn.	10
25	Abee jo, awer natierlech nëmme wann d´Polderen zougefruer sinn!	10
26	Abee nee: et ass absolut guer dat Selwecht!	7
27	A bei aller Maîtrise soll sech den Ozon all ze eescht huelen.	8
28	A bei deem Succès léisst eng Fortsetzung bestëmmt laang op sech waarden.	8
29	A bei deene Grousse war de klasseschen Happy End einfach virgesinn.	10
30	A béide Fäll sinn d'Deputéiert aktiv ginn.	7
31	A béide Gemenge sinn zesummegezielt eng aktuell bewunnbar.	7
32	A bei de Mirgain geiff ech se onbedengt gin.	7
33	A bei de Regisseuren ass d'Lëscht och vill méi laang.	9
34	A béide Welte gëllen déi nämmlecht Spillreegelen, dofir awer déiselwecht Gesetzer.	4
35	A bei dir scho guer.	5
36	A béid Rapper limitéiere sech kloer drop sech just musikalesch ze zerkazen.	6
37	A beim Dateschutz gëtt et fir Facebook méi einfach.	7
38	A bei mir brauchs de secher ze färten dass ech daat grau.	6
39	A beim Mënsch ass et vill aanéscht wéi bei deem Schaaf.	5
40	A bei wäitem nëmmen ech.	3
41	A bekanntlech däerf op der Arelerstrooss geparkt ginn… Wat wa Besuch kënnt?	6
42	Ab Enn November geet den www.generations.lu Internetsite méi.	11
43	Abenteuer laang op sech waarden.	1
44	A besser kann ee seng Zäit jo och am Fong verbréngen!	10
45	A besser kéinnt een hien och beschreiwen.	6
46	A „Besteierung“ eleng geet dem OGBL och wäit genuch.	9
47	A bis dohinner ass den Astra laanscht kommt.	6
48	A bis dohinner ass et jo laang.	6
49	A bis dohinner trëtt e mat Sécherheet och a Kraaft.	8
50	… a bis elo ass nach vill iwwer Inhalter geschwat ginn.	6
51	A bis Oktober kënnt do och méi vill no.	6
52	Ab Januar 2020 sollt dat méi de Fall sinn.	5
53	Ab Juni 2010 soll den RS mei gebaut ginn.	6
54	A Blutt gëtt nëmmen an der Bluttwurscht verschafft.	3
55	A bon, d’Mall ass gigantesch.	7
56	Abrëll, Abrëll, de wees wat e wëll.	6
57	Absicht oder kann hien et besser?	5
58	Absolut, do gëtt méi driwwer diskutéiert.	4
59	Absolutt hire Genre!	1
60	Abstrakt ass se och well se d Realiteit eremspigelt.	4
61	Ab wéini gëtt „Transsexualismus“ endlech méi als geeschteg Krankheet ugesinn?	7
62	Accident provozéiert, mä „élément pertubateur primaire“	1
63	"Accord ass perfekt"	3
64	A chaud gëtt de Mann gespillt an de Ball.	7
65	A Chef gëtt een nun emol vun haut op muer.	6
66	Ach Gott, daat ass méiglech!	5
67	A China reesen vill Léit trotz dem interessante Land.	3
68	Acteuren, déi just viru, mä och hannert der Kamera erfollegräich sinn.	3
69	Adaptatiounen am Schoultransport hält de Minister fir néideg.	6
70	Adaptatiounen hält de Romain Schneider zu dësem Ament fir néideg.	8
71	Adaptatioune vum Gesetz iwwer d'Aarbechtszäit ginn ausgeschloss.	8
72	Äddi Fränz, äddi Frënn, mäer wäerten dech vergiessen.	9
73	Äddi Jay du wars keen!	4
74	Äddi Jay, du wars keen!	5
75	Äddi Tun Den Tun ass méi ënnert eis.	5
76	ADEM: Esou wéi si de Chômagetaux duerleeën, stëmmt en – MOIEN.	11
77	Adhäsioun a KohäsiounFirwat pecht Pech bannen am Tube?	5
78	ADHS däerf méi mat Medikamenter behandelt gi mee duerch alternativ Therapien.	2
79	Adrian Malory an déi zwee ginn am Ufank wierklech gutt eens mateneen.	8
80	"ADR versteet Bevëlkerung méi"	4
81	A, ech kann méi Kleesche spillen, also dat steet fest.	4
82	Aehnlech ergoung et deene konservative Parteien, wann och grad esou krass.	9
83	Aerial Fotoen gesinn mer esou oft hei vun Bëscher.	4
84	Äert Fach existéiert hei uewen?	3
85	Äert Vertraue wäert enttäuscht ginn!	3
86	A fäert nëmmen iergendwéi är Meenung auszedrécken.	3
87	A falls elo, dann déi lescht 10 Joer.	9
88	A falsch ass dës Ausso jo am Fong och.	9
89	A falsch Tatsaache wären capabel, Meenungen ze produzéieren.	4
90	Affekote wäerten méi mat reliéisen Ofzeeche kënne viru Geriicht plädéieren.	2
91	A Finnland kënnen elo just Mënsche sech erliichtere mee och d'Véierbeener!	4
92	A fir dass eis Grousselteren vergiess ginn.	5
93	A fir dass si vergiess ginn.	4
94	A fir dat zouzemaachen, dat ass natierlech vun der Symbolik hir positiv.	12
95	A fir deen onästhetesche Giewel do kann ech och.	9
96	A fir déi 45 Joer léisst sech Match a Smatch huelen.	10
97	"A fir déi ass et einfach fir Lëtzebuergesch an Däitsch ze léieren."	6
98	A fir déi, déi et bekäppen, steet iwwerall “RangeRover”.	6
99	A fir do ze probéieren de Mëttelwee ze fannen ass ëmmer ganz einfach.	10
100	A fir esou wéinegt Geld ass e Gesetz néideg.	8
101	A fir et kloer ze soen: den Twingo III ass säin Ierwen.	11
102	A fir mech gëtt et awer keng Équipe déi e Chef huet.	9
103	A fir meng Argumentatioun interesséiert si sech scho guer.	9
104	A firwat ass d’AdBlue Installatioun bei de Kontrollen negativ opgefall?	10
105	A firwat ass dat just bannen am Auto a baussen?	9
106	A firwat ass dat hei zu Lëtzebuerg?	4
